Player,Region,League,Year,Dataset,Team,Pos,GP,WAR,WAR_per_game,proj_WAR
SIRIUSS,Korea,LCK CL,2026,full year (per-game derived),Gen.G Global Academy,ADC,1,-79.174,-79.174,-1.205
Lumos,Korea,LCK CL,2026,full year (per-game derived),Gen.G Global Academy,ADC,1,-117.693,-117.693,-2.388
Cloud,Korea,LCK CL,2026,full year (per-game derived),T1 Esports Academy,Support,87,54.41,0.6254,36.826
Bluffing,Korea,LCK CL,2026,full year (per-game derived),Hanwha Life Esports Challengers,Support,73,21.283,0.2915,17.439
PlanB,Korea,LCK CL,2026,full year (per-game derived),HANJIN BRION Challengers,Support,67,20.96,0.3128,18.007
Pleata,Korea,LCK CL,2026,full year (per-game derived),Nongshim Esports Academy,Support,78,16.474,0.2112,13.884
Loopy,Korea,LCK CL,2026,full year (per-game derived),Dplus Kia Challengers,Support,68,15.073,0.2217,12.445
Minous,Korea,LCK CL,2026,full year (per-game derived),Kiwoom DRX Challengers,Support,86,14.013,0.1629,11.479
SIRIUSS,Korea,LCK CL,2026,full year (per-game derived),Gen.G Global Academy,Support,12,13.474,1.1228,12.218
Effort,Korea,LCK CL,2026,full year (per-game derived),KT Rolster Challengers,Support,25,13.102,0.5241,13.834
Luon,Korea,LCK CL,2026,full year (per-game derived),BNK FEARX Youth,Support,75,10.378,0.1384,11.279
Quantum,Korea,LCK CL,2026,full year (per-game derived),DN SOOPers Challengers,Support,54,9.668,0.179,8.724
Lumos,Korea,LCK CL,2026,full year (per-game derived),Gen.G Global Academy,Support,50,-3.223,-0.0645,2.568
Peter,Korea,LCK CL,2026,full year (per-game derived),DN SOOPers Challengers,Support,20,-6.534,-0.3267,11.025
Lehends,Korea,LCK CL,2026,full year (per-game derived),Nongshim Esports Academy,Support,6,-16.593,-2.7655,10.671
Valiant,Korea,LCK CL,2026,full year (per-game derived),Hanwha Life Esports Challengers,Support,2,-19.852,-9.926,9.858
Pollu,Korea,LCK CL,2026,full year (per-game derived),KT Rolster Challengers,Support,42,-25.282,-0.602,-4.421
Ghost,Korea,LCK CL,2026,full year (per-game derived),KT Rolster Challengers,Support,11,-41.435,-3.7668,-2.001
Agresivoo,Europe,LEC,2023,full year (per-game derived),Team BDS,Top,1,60.657,60.657,17.765
Irrelevant,Europe,LEC,2023,full year (per-game derived),SK Gaming,Top,52,38.218,0.735,29.979
Photon,Europe,LEC,2023,full year (per-game derived),Team Vitality,Top,45,25.451,0.5656,21.722
Szygenda,Europe,LEC,2023,full year (per-game derived),KOI,Top,51,19.541,0.3832,18.342
BrokenBlade,Europe,LEC,2023,full year (per-game derived),G2 Esports,Top,76,18.318,0.241,17.757
Finn,Europe,LEC,2023,full year (per-game derived),Astralis,Top,42,17.183,0.4091,16.85
Chasy,Europe,LEC,2023,full year (per-game derived),MAD Lions KOI,Top,84,15.629,0.1861,15.841
Evi,Europe,LEC,2023,full year (per-game derived),Team Heretics,Top,44,11.822,0.2687,13.737
Oscarinin,Europe,LEC,2023,full year (per-game derived),Fnatic,Top,43,6.754,0.1571,10.84
Wunder,Europe,LEC,2023,full year (per-game derived),Fnatic,Top,23,-6.754,-0.2937,6.644
Adam,Europe,LEC,2023,full year (per-game derived),Team BDS,Top,63,-8.401,-0.1333,-0.12
Odoamne,Europe,LEC,2023,full year (per-game derived),Excel Esports,Top,52,-10.168,-0.1955,-0.13
Yike,Europe,LEC,2023,full year (per-game derived),G2 Esports,Jungle,76,46.909,0.6172,37.749
Razork,Europe,LEC,2023,full year (per-game derived),Fnatic,Jungle,66,39.693,0.6014,31.929
Daglas,Europe,LEC,2023,full year (per-game derived),Team Vitality,Jungle,3,32.253,10.751,17.134
Sheo,Europe,LEC,2023,full year (per-game derived),Team BDS,Jungle,64,22.457,0.3509,20.224
Jankos,Europe,LEC,2023,full year (per-game derived),Team Heretics,Jungle,44,20.683,0.4701,18.6
Elyoya,Europe,LEC,2023,full year (per-game derived),MAD Lions KOI,Jungle,84,17.839,0.2124,17.254
Peach,Europe,LEC,2023,full year (per-game derived),Excel Esports,Jungle,34,13.556,0.3987,14.587
Xerxe,Europe,LEC,2023,full year (per-game derived),Excel Esports,Jungle,18,13.224,0.7347,14.799
Markoon,Europe,LEC,2023,full year (per-game derived),SK Gaming,Jungle,52,3.048,0.0586,7.826
Bo,Europe,LEC,2023,full year (per-game derived),Team Vitality,Jungle,42,-3.048,-0.0726,4.996
113,Europe,LEC,2023,full year (per-game derived),Astralis,Jungle,42,-4.106,-0.0978,4.392
Malrang,Europe,LEC,2023,full year (per-game derived),KOI,Jungle,51,-11.126,-0.2182,-0.871
Larssen,Europe,LEC,2023,full year (per-game derived),KOI,Middle,51,31.152,0.6108,23.739
LIDER,Europe,LEC,2023,full year (per-game derived),Astralis,Middle,25,26.199,1.048,18.144
Humanoid,Europe,LEC,2023,full year (per-game derived),Fnatic,Middle,66,17.805,0.2698,15.85
Perkz,Europe,LEC,2023,full year (per-game derived),Team Vitality,Middle,45,15.555,0.3457,13.992
Vetheo,Europe,LEC,2023,full year (per-game derived),Team Heretics,Middle,20,13.986,0.6993,12.626
Ruby,Europe,LEC,2023,full year (per-game derived),Team Heretics,Middle,24,13.348,0.5562,12.448
Nisqy,Europe,LEC,2023,full year (per-game derived),MAD Lions KOI,Middle,84,11.764,0.14,11.764
nuc,Europe,LEC,2023,full year (per-game derived),Team BDS,Middle,64,8.221,0.1285,9.391
Vetheo,Europe,LEC,2023,full year (per-game derived),Excel Esports,Middle,15,3.88,0.2587,9.224
Abbedagge,Europe,LEC,2023,full year (per-game derived),Excel Esports,Middle,37,0.0,0.0,5.416
Dajor,Europe,LEC,2023,full year (per-game derived),Astralis,Middle,17,-4.286,-0.2521,6.146
Caps,Europe,LEC,2023,full year (per-game derived),G2 Esports,Middle,76,-9.064,-0.1193,-2.952
Sertuss,Europe,LEC,2023,full year (per-game derived),SK Gaming,Middle,52,-9.117,-0.1753,-1.229
Crownie,Europe,LEC,2023,full year (per-game derived),Team BDS,ADC,64,29.779,0.4653,24.18
3XA,Europe,LEC,2023,full year (per-game derived),SK Gaming,ADC,52,24.508,0.4713,20.096
Hans Sama,Europe,LEC,2023,full year (per-game derived),G2 Esports,ADC,76,24.311,0.3199,20.941
Carzzy,Europe,LEC,2023,full year (per-game derived),MAD Lions KOI,ADC,84,20.872,0.2485,18.675
Kobbe,Europe,LEC,2023,full year (per-game derived),Astralis,ADC,42,20.576,0.4899,17.251
Upset,Europe,LEC,2023,full year (per-game derived),Team Vitality,ADC,29,14.502,0.5001,13.63
Flakked,Europe,LEC,2023,full year (per-game derived),Team Heretics,ADC,20,12.828,0.6414,12.828
Noah,Europe,LEC,2023,full year (per-game derived),Fnatic,ADC,42,6.464,0.1539,9.195
Patrik,Europe,LEC,2023,full year (per-game derived),Excel Esports,ADC,52,0.581,0.0112,5.207
Comp,Europe,LEC,2023,full year (per-game derived),KOI,ADC,51,0.0,0.0,4.904
Rekkles,Europe,LEC,2023,full year (per-game derived),Fnatic,ADC,24,-9.915,-0.4131,3.005
Jackspektra,Europe,LEC,2023,full year (per-game derived),Team Heretics,ADC,24,-17.006,-0.7086,-0.057
Neon,Europe,LEC,2023,full year (per-game derived),Team Vitality,ADC,16,-43.142,-2.6964,-5.998
Execute,Europe,LEC,2023,full year (per-game derived),Astralis,Support,42,28.434,0.677,18.809
Mikyx,Europe,LEC,2023,full year (per-game derived),G2 Esports,Support,76,26.069,0.343,20.18
Mersa,Europe,LEC,2023,full year (per-game derived),Team Heretics,Support,44,25.834,0.5871,17.549
Doss,Europe,LEC,2023,full year (per-game derived),SK Gaming,Support,52,15.005,0.2886,11.604
Advienne,Europe,LEC,2023,full year (per-game derived),Fnatic,Support,15,14.629,0.9753,8.781
Kaiser,Europe,LEC,2023,full year (per-game derived),Team Vitality,Support,45,10.844,0.241,8.848
Targamas,Europe,LEC,2023,full year (per-game derived),Excel Esports,Support,9,7.139,0.7932,6.254
Labrov,Europe,LEC,2023,full year (per-game derived),Team BDS,Support,64,4.865,0.076,5.241
Trymbi,Europe,LEC,2023,full year (per-game derived),KOI,Support,38,1.617,0.0426,3.607
Advienne,Europe,LEC,2023,full year (per-game derived),KOI,Support,13,0.872,0.0671,4.506
LIMIT,Europe,LEC,2023,full year (per-game derived),Excel Esports,Support,43,-2.615,-0.0608,1.033
Hylissang,Europe,LEC,2023,full year (per-game derived),MAD Lions KOI,Support,84,-12.867,-0.1532,-7.713
Trymbi,Europe,LEC,2023,full year (per-game derived),Fnatic,Support,42,-13.568,-0.323,-5.171
Rhuckz,Europe,LEC,2023,full year (per-game derived),Fnatic,Support,9,-16.432,-1.8258,1.025
Szygenda,Europe,LEC,2024,full year (per-game derived),Rogue,Top,9,34.661,3.8512,12.739
Photon,Europe,LEC,2024,full year (per-game derived),Team Vitality,Top,46,26.877,0.5843,18.422
Myrwn,Europe,LEC,2024,full year (per-game derived),MAD Lions KOI,Top,75,20.048,0.2673,16.329
Canna,Europe,LEC,2024,full year (per-game derived),Karmine Corp,Top,21,18.416,0.877,8.614
Irrelevant,Europe,LEC,2024,full year (per-game derived),SK Gaming,Top,52,18.02,0.3465,17.228
BrokenBlade,Europe,LEC,2024,full year (per-game derived),G2 Esports,Top,88,4.956,0.0563,7.062
Odoamne,Europe,LEC,2024,full year (per-game derived),GiantX,Top,27,2.596,0.0961,-0.949
Oscarinin,Europe,LEC,2024,full year (per-game derived),Fnatic,Top,85,1.589,0.0187,2.899
Finn,Europe,LEC,2024,full year (per-game derived),Rogue,Top,20,1.273,0.0636,5.561
Adam,Europe,LEC,2024,full year (per-game derived),Team BDS,Top,76,0.267,0.0035,-0.944
Wunder,Europe,LEC,2024,full year (per-game derived),Team Heretics,Top,45,-0.8,-0.0178,-0.374
Cabochard,Europe,LEC,2024,full year (per-game derived),Karmine Corp,Top,18,-11.96,-0.6644,-1.071
JNX,Europe,LEC,2024,full year (per-game derived),Team BDS,Top,5,-25.392,-5.0784,11.36
Th3Antonio,Europe,LEC,2024,full year (per-game derived),GiantX,Top,21,-62.228,-2.9632,-21.188
Razork,Europe,LEC,2024,full year (per-game derived),Fnatic,Jungle,85,41.539,0.4887,33.955
Yike,Europe,LEC,2024,full year (per-game derived),G2 Esports,Jungle,88,39.43,0.4481,34.485
Bo,Europe,LEC,2024,full year (per-game derived),Karmine Corp,Jungle,18,21.658,1.2032,9.258
Sheo,Europe,LEC,2024,full year (per-game derived),Team BDS,Jungle,81,20.12,0.2484,17.952
Markoon,Europe,LEC,2024,full year (per-game derived),Rogue,Jungle,29,15.809,0.5451,9.803
ISMA,Europe,LEC,2024,full year (per-game derived),SK Gaming,Jungle,52,11.048,0.2125,13.112
Juhan,Europe,LEC,2024,full year (per-game derived),GiantX,Jungle,21,8.736,0.416,8.736
Daglas,Europe,LEC,2024,full year (per-game derived),Team Vitality,Jungle,36,6.915,0.1921,8.983
Peach,Europe,LEC,2024,full year (per-game derived),GiantX,Jungle,27,2.89,0.107,7.957
Elyoya,Europe,LEC,2024,full year (per-game derived),MAD Lions KOI,Jungle,75,0.0,0.0,6.244
Jankos,Europe,LEC,2024,full year (per-game derived),Team Heretics,Jungle,45,-2.562,-0.0569,5.57
Lyncas,Europe,LEC,2024,full year (per-game derived),Team Vitality,Jungle,10,-6.353,-0.6353,3.822
Closer,Europe,LEC,2024,full year (per-game derived),Karmine Corp,Jungle,21,-24.391,-1.1615,-4.498
Perkz,Europe,LEC,2024,full year (per-game derived),Team Heretics,Middle,14,38.608,2.7577,16.554
Larssen,Europe,LEC,2024,full year (per-game derived),Rogue,Middle,29,26.936,0.9288,20.359
Humanoid,Europe,LEC,2024,full year (per-game derived),Fnatic,Middle,85,21.156,0.2489,17.487
Caps,Europe,LEC,2024,full year (per-game derived),G2 Esports,Middle,88,18.753,0.2131,10.712
Vetheo,Europe,LEC,2024,full year (per-game derived),Team Vitality,Middle,46,12.746,0.2771,10.632
SAKEN,Europe,LEC,2024,full year (per-game derived),Karmine Corp,Middle,18,9.487,0.5271,9.114
Jackies,Europe,LEC,2024,full year (per-game derived),GiantX,Middle,48,5.197,0.1083,6.048
Vladi,Europe,LEC,2024,full year (per-game derived),Karmine Corp,Middle,21,1.377,0.0656,4.959
nuc,Europe,LEC,2024,full year (per-game derived),Team BDS,Middle,81,0.319,0.0039,3.388
Nisqy,Europe,LEC,2024,full year (per-game derived),SK Gaming,Middle,52,-0.957,-0.0184,4.927
Fresskowy,Europe,LEC,2024,full year (per-game derived),MAD Lions KOI,Middle,75,-8.841,-0.1179,-2.456
Zwyroo,Europe,LEC,2024,full year (per-game derived),Team Heretics,Middle,31,-17.386,-0.5608,-3.764
Ice,Europe,LEC,2024,full year (per-game derived),Team BDS,ADC,81,27.082,0.3343,21.86
Noah,Europe,LEC,2024,full year (per-game derived),Fnatic,ADC,85,23.174,0.2726,17.587
Hans Sama,Europe,LEC,2024,full year (per-game derived),G2 Esports,ADC,88,21.858,0.2484,19.535
Upset,Europe,LEC,2024,full year (per-game derived),Karmine Corp,ADC,39,16.031,0.4111,12.907
Supa,Europe,LEC,2024,full year (per-game derived),MAD Lions KOI,ADC,75,14.963,0.1995,14.631
Rahel,Europe,LEC,2024,full year (per-game derived),SK Gaming,ADC,19,8.462,0.4454,8.462
Flakked,Europe,LEC,2024,full year (per-game derived),Team Heretics,ADC,45,7.392,0.1643,8.404
Patrik,Europe,LEC,2024,full year (per-game derived),GiantX,ADC,48,2.583,0.0538,4.017
3XA,Europe,LEC,2024,full year (per-game derived),SK Gaming,ADC,33,-2.583,-0.0783,8.102
Carzzy,Europe,LEC,2024,full year (per-game derived),Team Vitality,ADC,46,-9.983,-0.217,4.581
Comp,Europe,LEC,2024,full year (per-game derived),Rogue,ADC,29,-33.932,-1.1701,-8.854
IgNar,Europe,LEC,2024,full year (per-game derived),GiantX,Support,48,36.718,0.765,27.642
Kaiser,Europe,LEC,2024,full year (per-game derived),Team Heretics,Support,14,34.957,2.4969,17.644
Alvaro,Europe,LEC,2024,full year (per-game derived),MAD Lions KOI,Support,75,32.613,0.4348,26.723
Jun,Europe,LEC,2024,full year (per-game derived),Fnatic,Support,85,22.488,0.2646,20.147
Labrov,Europe,LEC,2024,full year (per-game derived),Team BDS,Support,81,20.898,0.258,16.315
Luon,Europe,LEC,2024,full year (per-game derived),SK Gaming,Support,19,14.74,0.7758,14.18
Mikyx,Europe,LEC,2024,full year (per-game derived),G2 Esports,Support,88,12.945,0.1471,15.794
Targamas,Europe,LEC,2024,full year (per-game derived),Karmine Corp,Support,39,10.35,0.2654,11.823
Doss,Europe,LEC,2024,full year (per-game derived),SK Gaming,Support,33,5.03,0.1524,10.719
Trymbi,Europe,LEC,2024,full year (per-game derived),Team Heretics,Support,31,-15.091,-0.4868,-1.395
Zoelys,Europe,LEC,2024,full year (per-game derived),Rogue,Support,29,-16.014,-0.5522,2.764
Hylissang,Europe,LEC,2024,full year (per-game derived),Team Vitality,Support,46,-19.566,-0.4253,-8.054
Myrwn,Europe,LEC,2025,full year (per-game derived),Movistar KOI,Top,83,50.043,0.6029,35.56
BrokenBlade,Europe,LEC,2025,full year (per-game derived),G2 Esports,Top,73,41.896,0.5739,25.156
Canna,Europe,LEC,2025,full year (per-game derived),Karmine Corp,Top,85,29.762,0.3501,24.579
Adam,Europe,LEC,2025,full year (per-game derived),Rogue,Top,29,27.984,0.965,10.63
Rooster,Europe,LEC,2025,full year (per-game derived),Team BDS,Top,12,27.569,2.2974,16.48
Naak Nako,Europe,LEC,2025,full year (per-game derived),Team Vitality,Top,50,15.025,0.3005,12.009
Oscarinin,Europe,LEC,2025,full year (per-game derived),Fnatic,Top,80,9.503,0.1188,8.17
Lot,Europe,LEC,2025,full year (per-game derived),GiantX,Top,55,1.507,0.0274,8.887
DnDn,Europe,LEC,2025,full year (per-game derived),SK Gaming,Top,9,-1.034,-0.1149,9.314
Irrelevant,Europe,LEC,2025,full year (per-game derived),Team BDS,Top,38,-1.507,-0.0397,10.938
JNX,Europe,LEC,2025,full year (per-game derived),SK Gaming,Top,28,-21.9,-0.7821,-1.514
Carlsen,Europe,LEC,2025,full year (per-game derived),Team Heretics,Top,54,-23.076,-0.4273,-4.941
SkewMond,Europe,LEC,2025,full year (per-game derived),G2 Esports,Jungle,73,44.455,0.609,31.952
Sheo,Europe,LEC,2025,full year (per-game derived),Team Heretics,Jungle,54,22.849,0.4231,18.058
Elyoya,Europe,LEC,2025,full year (per-game derived),Movistar KOI,Jungle,83,20.721,0.2497,13.682
Razork,Europe,LEC,2025,full year (per-game derived),Fnatic,Jungle,80,20.243,0.253,23.582
ISMA,Europe,LEC,2025,full year (per-game derived),SK Gaming,Jungle,9,17.359,1.9288,11.517
Skeanz,Europe,LEC,2025,full year (per-game derived),SK Gaming,Jungle,9,16.468,1.8298,8.463
ISMA,Europe,LEC,2025,full year (per-game derived),GiantX,Jungle,39,14.777,0.3789,12.282
Yike,Europe,LEC,2025,full year (per-game derived),Karmine Corp,Jungle,85,5.964,0.0702,16.747
Boukada,Europe,LEC,2025,full year (per-game derived),SK Gaming,Jungle,19,5.175,0.2724,3.526
Lyncas,Europe,LEC,2025,full year (per-game derived),Team Vitality,Jungle,50,1.734,0.0347,3.198
113,Europe,LEC,2025,full year (per-game derived),Team BDS,Jungle,38,0.179,0.0047,4.471
Closer,Europe,LEC,2025,full year (per-game derived),GiantX,Jungle,16,-0.537,-0.0336,-0.45
Malrang,Europe,LEC,2025,full year (per-game derived),Rogue,Jungle,27,-12.427,-0.4603,-3.792
Boukada,Europe,LEC,2025,full year (per-game derived),Team BDS,Jungle,12,-21.137,-1.7614,-2.606
Trick,Europe,LEC,2025,full year (per-game derived),Rogue,Jungle,2,-30.182,-15.091,3.81
Jojopyun,Europe,LEC,2025,full year (per-game derived),Movistar KOI,Middle,83,23.478,0.2829,17.464
Poby,Europe,LEC,2025,full year (per-game derived),Fnatic,Middle,23,22.989,0.9995,10.646
Larssen,Europe,LEC,2025,full year (per-game derived),Rogue,Middle,29,12.413,0.428,12.655
Humanoid,Europe,LEC,2025,full year (per-game derived),Fnatic,Middle,57,10.226,0.1794,11.707
nuc,Europe,LEC,2025,full year (per-game derived),Team BDS,Middle,50,5.527,0.1105,3.503
Czajek,Europe,LEC,2025,full year (per-game derived),Team Vitality,Middle,50,2.143,0.0429,2.653
RKR,Europe,LEC,2025,full year (per-game derived),SK Gaming,Middle,28,1.162,0.0415,3.933
Caps,Europe,LEC,2025,full year (per-game derived),G2 Esports,Middle,73,0.874,0.012,4.119
Vladi,Europe,LEC,2025,full year (per-game derived),Karmine Corp,Middle,85,-0.874,-0.0103,0.039
Jackies,Europe,LEC,2025,full year (per-game derived),GiantX,Middle,55,-7.274,-0.1323,-2.346
Kamiloo,Europe,LEC,2025,full year (per-game derived),Team Heretics,Middle,54,-26.931,-0.4987,-16.386
Abbedagge,Europe,LEC,2025,full year (per-game derived),SK Gaming,Middle,9,-33.033,-3.6703,-2.649
Upset,Europe,LEC,2025,full year (per-game derived),Fnatic,ADC,80,39.161,0.4895,28.527
Ice,Europe,LEC,2025,full year (per-game derived),Team BDS,ADC,50,22.525,0.4505,20.443
Rahel,Europe,LEC,2025,full year (per-game derived),SK Gaming,ADC,9,22.446,2.494,12.3
Carzzy,Europe,LEC,2025,full year (per-game derived),Team Vitality,ADC,50,14.207,0.2841,10.307
Caliste,Europe,LEC,2025,full year (per-game derived),Karmine Corp,ADC,85,12.894,0.1517,14.402
Hans Sama,Europe,LEC,2025,full year (per-game derived),G2 Esports,ADC,73,10.332,0.1415,14.321
Supa,Europe,LEC,2025,full year (per-game derived),Movistar KOI,ADC,83,8.745,0.1054,11.117
Noah,Europe,LEC,2025,full year (per-game derived),GiantX,ADC,55,3.968,0.0721,10.752
Flakked,Europe,LEC,2025,full year (per-game derived),Team Heretics,ADC,54,-1.323,-0.0245,4.082
Keduii,Europe,LEC,2025,full year (per-game derived),SK Gaming,ADC,28,-19.098,-0.6821,-0.376
Patrik,Europe,LEC,2025,full year (per-game derived),Rogue,ADC,29,-19.582,-0.6752,-2.064
Fleshy,Europe,LEC,2025,full year (per-game derived),Team Vitality,Support,15,25.888,1.7259,14.66
Alvaro,Europe,LEC,2025,full year (per-game derived),Movistar KOI,Support,83,19.296,0.2325,19.058
Mikyx,Europe,LEC,2025,full year (per-game derived),Fnatic,Support,80,15.487,0.1936,13.811
Parus,Europe,LEC,2025,full year (per-game derived),Team BDS,Support,50,12.565,0.2513,8.351
Targamas,Europe,LEC,2025,full year (per-game derived),Karmine Corp,Support,85,7.534,0.0886,7.171
Jun,Europe,LEC,2025,full year (per-game derived),GiantX,Support,55,6.682,0.1215,10.601
Stend,Europe,LEC,2025,full year (per-game derived),Team Heretics,Support,54,4.625,0.0856,6.452
Loopy,Europe,LEC,2025,full year (per-game derived),SK Gaming,Support,37,4.507,0.1218,4.561
Labrov,Europe,LEC,2025,full year (per-game derived),G2 Esports,Support,73,2.015,0.0276,6.894
Execute,Europe,LEC,2025,full year (per-game derived),Rogue,Support,27,-6.045,-0.2239,3.31
Malrang,Europe,LEC,2025,full year (per-game derived),Rogue,Support,2,-11.163,-5.5815,3.684
Nisqy,Europe,LEC,2025,full year (per-game derived),Team Vitality,Support,21,-21.924,-1.044,-5.981
Hylissang,Europe,LEC,2025,full year (per-game derived),Team Vitality,Support,14,-35.436,-2.5311,-11.469
Oscarinin,Europe,LEC,2026,full year (per-game derived),GiantX,Top,3,70.137,23.379,11.845
Soboro,Europe,LEC,2026,full year (per-game derived),Fnatic,Top,3,64.77,21.59,18.591
Naak Nako,Europe,LEC,2026,full year (per-game derived),Team Vitality,Top,55,40.245,0.7317,26.326
Rooster,Europe,LEC,2026,full year (per-game derived),Shifters,Top,36,29.668,0.8241,22.782
BrokenBlade,Europe,LEC,2026,full year (per-game derived),G2 Esports,Top,66,18.592,0.2817,20.683
Canna,Europe,LEC,2026,full year (per-game derived),Karmine Corp,Top,82,16.257,0.1983,18.915
Wunder,Europe,LEC,2026,full year (per-game derived),SK Gaming,Top,35,12.147,0.3471,11.463
Tracyn,Europe,LEC,2026,full year (per-game derived),Team Heretics,Top,38,11.57,0.3045,19.505
Maynter,Europe,LEC,2026,full year (per-game derived),Natus Vincere,Top,47,7.328,0.1559,12.836
Lot,Europe,LEC,2026,full year (per-game derived),GiantX,Top,48,-2.443,-0.0509,4.742
Myrwn,Europe,LEC,2026,full year (per-game derived),Movistar KOI,Top,69,-8.797,-0.1275,12.123
Empyros,Europe,LEC,2026,full year (per-game derived),Fnatic,Top,36,-17.53,-0.4869,-1.098
SkewMond,Europe,LEC,2026,full year (per-game derived),G2 Esports,Jungle,66,42.09,0.6377,36.009
Rhilech,Europe,LEC,2026,full year (per-game derived),Natus Vincere,Jungle,47,29.811,0.6343,24.538
ISMA,Europe,LEC,2026,full year (per-game derived),GiantX,Jungle,51,28.794,0.5646,23.012
Elyoya,Europe,LEC,2026,full year (per-game derived),Movistar KOI,Jungle,69,28.232,0.4092,21.188
Daglas,Europe,LEC,2026,full year (per-game derived),Team Heretics,Jungle,10,18.336,1.8336,18.41
Yike,Europe,LEC,2026,full year (per-game derived),Karmine Corp,Jungle,82,17.454,0.2129,17.219
Sheo,Europe,LEC,2026,full year (per-game derived),Shifters,Jungle,10,15.245,1.5245,18.749
Razork,Europe,LEC,2026,full year (per-game derived),Fnatic,Jungle,39,3.694,0.0947,16.845
Sheo,Europe,LEC,2026,full year (per-game derived),Team Heretics,Jungle,28,0.261,0.0093,13.792
Skeanz,Europe,LEC,2026,full year (per-game derived),SK Gaming,Jungle,35,-0.784,-0.0224,7.809
Lyncas,Europe,LEC,2026,full year (per-game derived),Team Vitality,Jungle,55,-14.577,-0.265,-2.428
Boukada,Europe,LEC,2026,full year (per-game derived),Shifters,Jungle,26,-23.132,-0.8897,-1.431
Jojopyun,Europe,LEC,2026,full year (per-game derived),Movistar KOI,Middle,69,32.964,0.4777,23.145
Caps,Europe,LEC,2026,full year (per-game derived),G2 Esports,Middle,66,15.429,0.2338,9.808
Poby,Europe,LEC,2026,full year (per-game derived),Natus Vincere,Middle,47,14.098,0.3,10.439
kyeahoo,Europe,LEC,2026,full year (per-game derived),Karmine Corp,Middle,82,11.803,0.1439,8.893
Jackies,Europe,LEC,2026,full year (per-game derived),GiantX,Middle,51,8.113,0.1591,3.028
nuc,Europe,LEC,2026,full year (per-game derived),Shifters,Middle,36,1.676,0.0466,2.102
Humanoid,Europe,LEC,2026,full year (per-game derived),Team Vitality,Middle,46,0.989,0.0215,5.797
LIDER,Europe,LEC,2026,full year (per-game derived),SK Gaming,Middle,30,-0.33,-0.011,0.522
Vladi,Europe,LEC,2026,full year (per-game derived),Fnatic,Middle,39,-4.195,-0.1076,-1.337
FIESTA,Europe,LEC,2026,full year (per-game derived),Team Vitality,Middle,9,-9.919,-1.1021,-1.164
Serin,Europe,LEC,2026,full year (per-game derived),Team Heretics,Middle,38,-10.581,-0.2784,2.571
SlowQ,Europe,LEC,2026,full year (per-game derived),SK Gaming,Middle,5,-14.105,-2.821,6.851
Upset,Europe,LEC,2026,full year (per-game derived),Fnatic,ADC,39,30.525,0.7827,23.951
Hans Sama,Europe,LEC,2026,full year (per-game derived),G2 Esports,ADC,66,24.173,0.3663,16.323
Jopa,Europe,LEC,2026,full year (per-game derived),SK Gaming,ADC,35,19.504,0.5573,12.124
Caliste,Europe,LEC,2026,full year (per-game derived),Karmine Corp,ADC,82,15.212,0.1855,12.714
Supa,Europe,LEC,2026,full year (per-game derived),Movistar KOI,ADC,69,5.986,0.0868,6.739
SamD,Europe,LEC,2026,full year (per-game derived),Natus Vincere,ADC,47,4.483,0.0954,9.679
Paduck,Europe,LEC,2026,full year (per-game derived),Shifters,ADC,36,0.252,0.007,1.24
Carzzy,Europe,LEC,2026,full year (per-game derived),Team Vitality,ADC,55,-0.084,-0.0015,2.267
Ice,Europe,LEC,2026,full year (per-game derived),Team Heretics,ADC,34,-5.332,-0.1568,7.691
Hype,Europe,LEC,2026,full year (per-game derived),Team Heretics,ADC,4,-9.747,-2.4368,1.005
Noah,Europe,LEC,2026,full year (per-game derived),GiantX,ADC,48,-13.839,-0.2883,-0.913
Flakked,Europe,LEC,2026,full year (per-game derived),GiantX,ADC,3,-45.386,-15.1287,-0.36
Fleshy,Europe,LEC,2026,full year (per-game derived),Team Vitality,Support,55,35.329,0.6423,28.16
Mikyx,Europe,LEC,2026,full year (per-game derived),SK Gaming,Support,35,25.113,0.7175,17.91
Jun,Europe,LEC,2026,full year (per-game derived),GiantX,Support,51,22.387,0.439,17.679
Parus,Europe,LEC,2026,full year (per-game derived),Natus Vincere,Support,47,18.467,0.3929,15.351
Stend,Europe,LEC,2026,full year (per-game derived),Shifters,Support,5,17.272,3.4544,11.656
Alvaro,Europe,LEC,2026,full year (per-game derived),Movistar KOI,Support,69,16.959,0.2458,18.675
Lospa,Europe,LEC,2026,full year (per-game derived),Fnatic,Support,39,13.338,0.342,16.402
Busio,Europe,LEC,2026,full year (per-game derived),Karmine Corp,Support,82,4.747,0.0579,7.638
Way,Europe,LEC,2026,full year (per-game derived),Team Heretics,Support,24,0.622,0.0259,8.874
Trymbi,Europe,LEC,2026,full year (per-game derived),Shifters,Support,31,-0.622,-0.0201,5.313
Labrov,Europe,LEC,2026,full year (per-game derived),G2 Esports,Support,66,-8.331,-0.1262,2.278
Stend,Europe,LEC,2026,full year (per-game derived),Team Heretics,Support,14,-13.08,-0.9343,6.497
JNX,Europe,PRM,2023,full year (per-game derived),SK Gaming Prime,Top,54,55.462,1.0271,38.411
Melonik,Europe,LFL,2023,full year (per-game derived),Solary,Top,42,54.273,1.2922,35.322
Oscarinin,Europe,LES,2023,full year (per-game derived),Fnatic TQ,Top,16,46.994,2.9371,17.991
