Region,League,Year,Dataset,Team,Team_WAR,WAR_per_Game,W,L,GP,W_pct,Players,Projected_Team_WAR,Proj_WAR_per_Game
Americas,LCS,2023,full year (per-game derived),Immortals,-19.29,-0.536,9,27,36,0.25,"Solo, Kenvi, Bolulu, Tactical, Treatz",15.0,0.417
Americas,LCS,2024,full year (per-game derived),Cloud9,104.48,2.223,26,21,47,0.5532,"Thanatos, Blaber, Jojopyun, Berserker, Vulcan",85.48,1.819
Americas,LCS,2024,full year (per-game derived),Team Liquid,83.91,1.353,42,20,62,0.6774,"Impact, UmTi, APA, Yeon, CoreJJ",75.52,1.218
Americas,LCS,2024,full year (per-game derived),100 Thieves,82.33,1.372,30,30,60,0.5,"Sniper, River, Quid, Tomo, Eyla",71.7,1.195
Americas,LCS,2024,full year (per-game derived),Immortals,55.11,1.9,7,22,29,0.2414,"Castle, Armao, Mask, Tactical, Olleh",54.76,1.888
Americas,LCS,2024,full year (per-game derived),FlyQuest,51.14,0.799,42,22,64,0.6562,"Bwipo, Inspired, Quad, Massu, Busio",54.73,0.855
Americas,LCS,2024,full year (per-game derived),Dignitas,39.03,0.813,20,28,48,0.4167,"Licorice, Spica, Jensen, Zven, Isles",58.28,1.214
Americas,LCS,2024,full year (per-game derived),NRG,18.04,0.41,16,28,44,0.3636,"Dhokla, Contractz, Palafox, FBI, huhi",38.39,0.872
Americas,LCS,2024,full year (per-game derived),Shopify Rebellion,-21.66,-0.722,9,21,30,0.3,"FakeGod, Bugi, Insanity, Bvoy, Zeyzal",36.65,1.222
Americas,LCS,2025,full year (per-game derived),LYON,90.78,2.751,11,22,33,0.3333,"Srtty, Oddielan, Saint, Hena, Lyonz",70.25,2.129
Americas,LCS,2025,full year (per-game derived),100 Thieves,84.52,1.657,29,22,51,0.5686,"Dhokla, River, Quid, FBI, Eyla",69.56,1.364
Americas,LCS,2025,full year (per-game derived),FlyQuest,80.9,1.498,44,10,54,0.8148,"Bwipo, Inspired, Quad, Massu, Busio",61.59,1.141
Americas,LCS,2025,full year (per-game derived),Cloud9,78.94,1.338,39,20,59,0.661,"Thanatos, Blaber, Loki, Zven, Vulcan",71.93,1.219
Americas,LCS,2025,full year (per-game derived),Disguised,73.28,1.981,10,27,37,0.2703,"Castle, eXyu, DARKWINGS, Rahel, huhi",67.75,1.831
Americas,LCS,2025,full year (per-game derived),Team Liquid,70.84,1.507,22,25,47,0.4681,"Impact, Yuuji, APA, Yeon, CoreJJ",99.7,2.121
Americas,LCS,2025,full year (per-game derived),Shopify Rebellion,-10.92,-0.188,24,34,58,0.4138,"Fudge, Contractz, Palafox, Bvoy, Ceos",13.98,0.241
Americas,LCS,2025,full year (per-game derived),Dignitas,-13.61,-0.349,10,29,39,0.2564,"Photon, Sheiden, Keine, Tomo, Isles",15.48,0.397
Americas,LCS,2026,full year (per-game derived),Team Liquid,87.1,1.708,30,21,51,0.5882,"Morgan, Josedeodo, Quid, Yeon, CoreJJ",81.73,1.603
Americas,LCS,2026,full year (per-game derived),Cloud9,76.02,1.653,30,16,46,0.6522,"Thanatos, Blaber, APA, Zven, Vulcan",66.41,1.444
Americas,LCS,2026,full year (per-game derived),FlyQuest,73.2,1.627,22,23,45,0.4889,"Gakgos, Gryffinn, Quad, Massu, Cryogen",53.44,1.188
Americas,LCS,2026,full year (per-game derived),LYON,72.56,1.423,36,15,51,0.7059,"Dhokla, Inspired, Saint, Berserker, Isles",53.22,1.044
Americas,LCS,2026,full year (per-game derived),Disguised,67.14,2.098,11,21,32,0.3438,"Srtty, KryRa, Callme, sajed, Lyonz",36.26,1.133
Americas,LCS,2026,full year (per-game derived),Sentinels,43.74,1.067,18,23,41,0.439,"Impact, HamBak, DARKWINGS, Rahel, huhi",51.74,1.262
Americas,LCS,2026,full year (per-game derived),Dignitas,1.28,0.053,5,19,24,0.2083,"Photon, eXyu, Palafox, FBI, Ignar",12.99,0.541
Americas,LCS,2026,full year (per-game derived),Shopify Rebellion,-29.52,-1.23,5,19,24,0.2083,"Fudge, Contractz, Zinie, Bvoy, Ceos",6.88,0.287
Americas,CBLOL,2023,full year (per-game derived),LOUD,123.25,2.125,43,15,58,0.7414,"Robo, Croc, tinowns, Route, Ceos",99.24,1.711
Americas,CBLOL,2023,full year (per-game derived),paiN Gaming,118.11,1.79,40,26,66,0.6061,"Wizer, CarioK, dyNquedo, Bvoy, ProDelta",94.23,1.428
Americas,CBLOL,2023,full year (per-game derived),INTZ,82.2,1.749,22,25,47,0.4681,"Zzk, Yampi, NOsFerus, NinjaKiwi, Nia",71.32,1.517
Americas,CBLOL,2023,full year (per-game derived),Liberty,70.96,1.971,7,29,36,0.1944,"Kiari, Accez, Avenger, Juliera, Wos",63.2,1.756
Americas,CBLOL,2023,full year (per-game derived),LØS,69.95,1.457,24,24,48,0.5,"Hidan, enel1, Lava, Netuno, Ranger",72.69,1.514
Americas,CBLOL,2023,full year (per-game derived),Vivo Keyd Stars,68.93,1.532,19,26,45,0.4222,"Guigo, Grell, Grevthar, Trigo, Damage",63.95,1.421
Americas,CBLOL,2023,full year (per-game derived),Fluxo,59.86,1.36,23,21,44,0.5227,"Tay, Disamis, Hauz, Brance, JoJo",57.88,1.315
Americas,CBLOL,2023,full year (per-game derived),RED Canids,52.72,0.925,33,24,57,0.5789,"fNb, Aegis, Envy, TitaN, frosty",53.35,0.936
Americas,CBLOL,2023,full year (per-game derived),FURIA,46.83,0.996,23,24,47,0.4894,"Betão, Goot, Tutsz, Ayu, zay",42.82,0.911
Americas,CBLOL,2023,full year (per-game derived),KaBuM! Esports,8.92,0.248,8,28,36,0.2222,"Lonely, Samkz, Krastyel, RAV3N, RedBert",41.32,1.148
Americas,CBLOL,2024,full year (per-game derived),Vivo Keyd Stars,109.07,1.536,45,26,71,0.6338,"Guigo, Disamis, Leleko, Smiley, ProDelta",94.58,1.332
Americas,CBLOL,2024,full year (per-game derived),paiN Gaming,64.1,0.929,46,23,69,0.6667,"Wizer, CarioK, dyNquedo, TitaN, Kuri",62.73,0.909
